Unidade Responsável;UASG;Id do item no PCA;Categoria do Item;Identificador da Futura Contratação;Nome da Futura Contratação;Catálogo Utilizado;Classificação do Catálogo;Código da Classificação Superior (Classe/Grupo);Nome da Classificação Superior (Classe/Grupo);Código do PDM do Item;Nome do PDM do Item;Código do Item;Descrição do Item;Unidade de Fornecimento;Quantidade Estimada;Valor Unitário Estimado (R$);Valor Total Estimado (R$);Valor orçamentário estimado para o exercício (R$);Data Desejada
Cilindro com Multi Patas, peso operacional mínimo de 10.500kg e máximo de 14.000Kg, com tração no cilindro, transmissão com acionamento direto nocilindro e nas rodas traseiras, chassi arti culado, direção com acionamento totalmente hidráulico, sistema de iluminação detrânsito e trabalho, alarme de marcha à ré, plataforma montada sobre amortecedores, cabine com ar condicionado, estruturade proteção contra capotagem (ROPS) e contra queda de objetos (FOPS), assento do operador ajustável, espelhos retrovisores interno e externos, sistema elétrico mínimo 12 volts, faróis de serviço dianteiros e traseiros, alarme de marcha à ré e demais itens de segurança obrigatórios.;un;1,0000;120000,0000;120000,0000;0,0000;02/09/2026
Administração Regional de Samambaia;9114;203638;Material;21;Material de Copa e Cozinha;Outros;Material;30.21.00.001;Material e utensílio para copa e cozinha;;;3.3.90.30.21.00.001.37172;COLHER DE CAFÉ, Descrição: em aço inox, comprimento mínimo de 9cm.;un;60,0000;1,0000;90,0000;0,0000;02/09/2026
Administração Regional de Samambaia;9114;203639;Material;21;Material de Copa e Cozinha;Outros;Material;30.21.00.001;Material e utensílio para copa e cozinha;;;3.3.90.30.21.00.001.37174;COLHER DE SOBREMESA, Descrição: em aço inox, comprimento mínimo de 15cm.;un;60,0000;2,0000;150,0000;0,0000;02/09/2026
Administração Regional de Samambaia;9114;203641;Material;42;Ferramentas;Outros;Material;30.42.00.002;Ferramentas em geral;;;3.3.90.30.42.00.002.37175;CAIXA DE FERRAMENTA TIPO BAÚ, Descrição: caixa plástica, com trava, com organizadores internos para ferramentas, alça para carregar, capacidade mínima de carga de 10kg.;un;6,0000;53,0000;318,8100;0,0000;02/09/2026
Administração Regional de Samambaia;9114;203642;Material;42;Ferramentas;Outros;Material;30.42.00.002;Ferramentas em geral;;;3.3.90.30.42.00.002.37176;ALICATE, Descrição: cortador, crimpador e decapador para fios de no mínimo de 0,2 a 6,0 mm, em aço, com cabo em material antiderrapante.;un;12,0000;41,0000;500,4000;0,0000;02/09/2026
Administração Regional de Samambaia;9114;203643;Material;42;Ferramentas;Outros;Material;30.42.00.002;Ferramentas em geral;;;3.3.90.30.42.00.002.37177;KIT DE CHAVE ALLEN, Descrição: em aço, para apertar e soltar parafusos sextavados internos, composto por 9 peças, incluindo organizador para a guarda das peças, medidas de: 1,5mm, 2mm, 2,5mm, 3mm, 4mm, 5mm, 6mm, 8mm e 10mm.;un;4,0000;30,0000;122,2400;0,0000;02/09/2026
Administração Regional de Samambaia;9114;203644;Material;42;Ferramentas;Outros;Material;30.42.00.002;Ferramentas em geral;;;3.3.90.30.42.00.002.37178;CHAVE DE BIELA, Descrição: tipo L, 15 mm , em aço, medida estampada na peça para identificação da ferramenta, bitola de ambos os lados com medidas iguais, indicada para aperto e desaperto de parafusos e porcas com perfil sextavado externo.;un;4,0000;17,0000;70,0000;0,0000;02/09/2026
Administração Regional de Samambaia;9114;203645;Material;42;Ferramentas;Outros;Material;30.42.00.002;Ferramentas em geral;;;3.3.90.30.42.00.002.37179;CHAVE DE BIELA, Descrição: tipo L, 14 mm , em aço, medida estampada na peça para identificação da ferramenta, bitola de ambos os lados com medidas iguais, indicada para aperto e desaperto de parafusos e porcas com perfil sextavado externo.;un;8,0000;22,0000;176,0000;0,0000;02/09/2026
Administração Regional de Samambaia;9114;203646;Material;42;Ferramentas;Outros;Material;30.42.00.002;Ferramentas em geral;;;3.3.90.30.42.00.002.37180;CHAVE DE BIELA, Descrição: tipo L, 12mm , em aço, medida estampada na peça para identificação da ferramenta, bitola de ambos os lados com medidas iguais, indicada para aperto e desaperto de parafusos e porcas com perfil sextavado externo.;un;4,0000;19,0000;78,0000;0,0000;02/09/2026
Administração Regional de Samambaia;9114;203647;Material;21;Material de Copa e Cozinha;Outros;Material;30.21.00.001;Material e utensílio para copa e cozinha;;;3.3.90.30.21.00.001.37182;COLHER DE MESA, Descrição: em aço inox, comprimento mínimo de 19 cm.;un;50,0000;5,0000;275,0000;0,0000;02/09/2026
